"id","fk_author","fk_article"
"1169","280","384"
"1170","519","385"
"1171","517","385"
"1172","520","386"
"1173","521","386"
"1174","522","387"
"1175","398","387"
"1176","523","389"
"1177","335","389"
"1178","524","391"
"1179","525","393"
"1180","525","444"
"1181","526","394"
"1182","527","394"
"1183","392","395"
"1184","393","395"
"1185","528","396"
"1186","528","398"
"1187","529","397"
"1188","530","400"
"1189","531","401"
"1190","532","402"
"1191","533","403"
"1192","534","404"
"1193","535","405"
"1194","536","406"
"1195","537","407"
"1196","368","408"
"1197","384","408"
"1198","538","409"
"1199","380","409"
"1200","539","411"
"1201","380","411"
"1202","539","445"
"1203","380","445"
"1204","509","413"
"1205","379","413"
"1206","414","413"
"1207","380","413"
"1208","416","414"
"1209","380","414"
"1210","540","414"
"1211","541","414"
"1212","542","415"
"1213","380","415"
"1214","543","417"
"1215","335","417"
"1216","544","418"
"1217","545","418"
"1218","546","418"
"1219","547","419"
"1220","335","419"
"1221","548","420"
"1222","382","420"
"1223","467","421"
"1224","350","421"
"1225","467","424"
"1226","350","424"
"1227","467","431"
"1228","350","431"
"1229","303","422"
"1230","298","422"
"1231","340","423"
"1232","378","423"
"1233","549","423"
"1490","587","423"
"1235","550","426"
"1236","475","426"
"1237","348","428"
"1238","471","428"
"1239","349","428"
"1240","551","429"
"1241","552","429"
"1242","372","433"
"1243","374","433"
"1244","553","434"
"1245","587","434"
"1246","409","437"
"1247","335","437"
"1248","554","438"
"1249","555","438"
"1250","556","439"
"1251","335","439"
"1252","364","440"
"1253","557","440"
"1254","558","441"
"1255","559","441"
"1256","458","443"
"1257","398","443"
"1259","560","447"
"1266","319","451"
"1261","491","449"
"1262","379","450"
"1263","380","450"
"1264","335","449"
"1265","561","448"
"1267","562","451"
"1268","321","451"
"1269","322","451"
"1270","563","452"
"1271","564","452"
"1272","340","453"
"1273","378","453"
"1274","538","454"
"1275","380","454"
"1276","366","455"
"1277","565","455"
"1278","380","455"
"1279","566","456"
"1280","335","456"
"1281","567","457"
"1282","340","458"
"1283","378","458"
"1284","568","459"
"1285","433","459"
"1286","318","459"
"1287","334","460"
"1288","569","460"
"1289","335","460"
"1290","570","461"
"1291","571","461"
"1292","572","463"
"1293","573","464"
"1294","574","464"
"1295","303","465"
"1296","298","465"
"1297","467","466"
"1298","575","466"
"1299","321","467"
"1300","322","467"
"1301","340","468"
"1302","378","468"
"1303","576","469"
"1304","577","469"
"1305","579","470"
"1306","578","470"
"1307","440","471"
"1308","526","472"
"1309","527","472"
"1310","580","473"
"1311","378","473"
"1312","336","474"
"1313","582","474"
"1314","436","474"
"1315","586","475"
"1316","585","475"
"1317","584","475"
"1318","587","475"
"1319","385","476"
"1320","380","476"
"1321","581","478"
"1322","467","479"
"1323","583","479"
"1324","303","480"
"1326","505","480"
"1609","441","480"
"1328","280","480"
"1329","359","481"
"1330","367","481"
"1331","380","481"
"1332","364","482"
"1333","285","482"
"1334","335","482"
"1335","467","483"
"1336","394","483"
"1337","300","484"
"1338","298","484"
"1339","340","485"
"1340","341","485"
"1341","589","486"
"1342","335","486"
"1343","359","487"
"1344","380","487"
"1357","525","494"
"1346","379","489"
"1347","380","489"
"1348","364","490"
"1349","285","490"
"1350","590","490"
"1351","287","490"
"1352","402","491"
"1353","358","491"
"1354","591","492"
"1355","302","493"
"1356","280","493"
"1358","525","495"
"1359","340","496"
"1360","341","496"
"1361","359","497"
"1362","367","497"
"1364","289","497"
"1365","592","498"
"1366","593","498"
"1367","291","498"
"1368","385","499"
"1369","289","499"
"1370","594","500"
"1371","289","500"
"1372","385","501"
"1373","429","502"
"1374","335","502"
"1375","525","504"
"1376","340","505"
"1377","595","506"
"1378","596","507"
"1379","506","508"
"1380","335","508"
"1381","445","509"
"1382","378","509"
"1383","429","509"
"1384","335","509"
"1385","450","510"
"1386","597","510"
"1387","303","510"
"1388","598","510"
"1389","368","511"
"1390","384","511"
"1391","430","512"
"1392","380","512"
"1393","538","513"
"1394","380","513"
"1395","539","514"
"1396","599","514"
"1397","372","516"
"1398","380","516"
"1399","600","517"
"1400","601","517"
"1401","429","518"
"1402","335","518"
"1403","603","519"
"1404","602","519"
"1405","385","520"
"1406","380","520"
"1407","604","521"
"1408","598","521"
"1409","605","522"
"1410","380","522"
"1412","606","523"
"1413","607","523"
"1414","608","523"
"1415","380","523"
"1416","594","524"
"1417","380","524"
"1418","611","527"
"1419","610","527"
"1420","609","526"
"1421","380","526"
"1422","492","528"
"1423","358","528"
"1424","526","529"
"1425","599","529"
"1426","429","530"
"1427","612","530"
"1428","409","530"
"1429","335","530"
"1430","392","531"
"1431","613","531"
"1566","340","603"
"1433","614","532"
"1434","340","533"
"1435","378","533"
"1436","493","534"
"1437","398","534"
"1438","615","535"
"1439","616","535"
"1440","617","535"
"1441","416","536"
"1442","380","536"
"1443","340","537"
"1444","378","537"
"1445","586","538"
"1446","585","538"
"1447","618","538"
"1448","587","538"
"1449","619","539"
"1450","620","539"
"1451","621","541"
"1452","434","542"
"1453","392","543"
"1454","613","543"
"1455","385","545"
"1456","289","545"
"1457","622","546"
"1458","357","547"
"1459","358","547"
"1460","303","548"
"1461","598","548"
"1462","623","549"
"1463","380","549"
"1464","538","550"
"1465","380","550"
"1466","624","551"
"1467","586","552"
"1468","585","552"
"1469","471","553"
"1470","625","553"
"1471","340","556"
"1472","378","556"
"1473","626","555"
"1474","586","557"
"1475","585","557"
"1476","627","557"
"1477","587","557"
"1478","582","558"
"1479","436","558"
"1480","301","559"
"1481","598","559"
"1482","467","560"
"1483","575","560"
"1484","570","561"
"1485","628","561"
"1486","401","562"
"1487","380","562"
"1488","629","563"
"1489","630","563"
"1491","631","564"
"1492","559","564"
"1493","471","565"
"1494","632","565"
"1495","633","567"
"1496","401","568"
"1497","380","568"
"1498","634","568"
"1499","635","568"
"1500","605","569"
"1501","380","569"
"1502","636","570"
"1503","637","570"
"1504","340","571"
"1505","422","571"
"1507","638","572"
"1508","587","572"
"1509","385","573"
"1510","380","573"
"1511","458","462"
"1512","639","447"
"1513","640","575"
"1514","340","577"
"1515","378","577"
"1518","641","578"
"1517","380","578"
"1519","509","579"
"1520","414","579"
"1521","379","579"
"1522","380","579"
"1523","642","580"
"1524","643","581"
"1525","644","581"
"1526","645","582"
"1527","646","582"
"1528","431","583"
"1529","380","583"
"1530","340","584"
"1531","378","584"
"1532","647","585"
"1533","648","586"
"1534","649","586"
"1535","301","587"
"1536","598","587"
"1537","506","588"
"1538","335","588"
"1539","565","589"
"1540","380","589"
"1541","385","590"
"1542","380","590"
"1543","650","591"
"1544","651","591"
"1545","385","592"
"1546","289","592"
"1547","340","593"
"1548","385","593"
"1549","340","594"
"1550","379","595"
"1551","380","595"
"1552","340","596"
"1553","430","597"
"1554","380","597"
"1555","652","597"
"1556","653","597"
"1557","654","597"
"1558","655","597"
"1559","656","598"
"1560","657","598"
"1561","658","599"
"1562","659","599"
"1563","660","599"
"1564","366","600"
"1565","380","600"
"1567","638","603"
"1568","586","604"
"1569","662","604"
"1570","643","605"
"1571","661","605"
"1572","467","606"
"1573","575","606"
"1574","301","607"
"1575","598","607"
"1576","565","608"
"1577","380","608"
"1578","663","609"
"1579","440","611"
"1580","301","612"
"1581","664","613"
"1582","570","614"
"1583","665","614"
"1584","666","615"
"1585","667","615"
"1586","668","617"
"1587","580","618"
"1588","669","618"
"1589","670","618"
"1590","671","619"
"1591","672","619"
"1592","673","620"
"1594","674","620"
